Date,Title,Amount,Type,Category,Payment Method,Reference,Note,Raw SMS
2026-09-06 19:37,Emergency Loan Settlement,80.00,Expense,Bills & Utilities,Primary Account,,,"Tk 80.0 has been deducted to settle your recent Emergency Loan advances. Current outstanding Tk 0.0. For Details, dial *8#."
2026-09-06 19:37,Robi,130.00,Expense,Mobile Recharge,Nagad,75Y2J60H,Mobile: 01851096720,"Mobile Recharge Request Received.
Amount: Tk 130.00
Mobile:01851096720
TxnID: 75Y2J60H
Balance: Tk 0.62
06/09/2026 19:37"
2026-09-06 10:07,Robi Emergency Balance,40.00,Income,Income,Primary Account,,,"Dear Customer, 1GB, 12Hr @40Tk has been added to your account. Tk 40.0 + Service fee of TK 0.00 will be deducted from your next recharge. Your total outstanding is Tk 80.00. For Details, dial *8#"
2026-09-05 19:14,Robi Emergency Balance,40.00,Income,Income,Primary Account,,,"Dear Customer, 1GB, 12Hr @40Tk has been added to your account. Tk 40.0 + Service fee of TK 0.00 will be deducted from your next recharge. Your total outstanding is Tk 40.00. For Details, dial *8#"
2026-09-04 08:34,Robi,30.00,Expense,Mobile Recharge,Nagad,75XKWBWG,Mobile: 01851096720,"Mobile Recharge Request Received.
Amount: Tk 30.00
Mobile:01851096720
TxnID: 75XKWBWG
Balance: Tk 130.62
04/09/2026 08:33"
2026-08-23 13:17,Robi,30.00,Expense,Mobile Recharge,Nagad,75V8K0XO,Mobile: 01851096720,"Mobile Recharge Request Received.
Amount: Tk 30.00
Mobile:01851096720
TxnID: 75V8K0XO
Balance: Tk 210.62
23/08/2026 13:17"
2026-08-14 11:39,Robi,20.00,Expense,Mobile Recharge,Nagad,75TJOYWQ,Mobile: 01851096720,"Mobile Recharge Request Received.
Amount: Tk 20.00
Mobile:01851096720
TxnID: 75TJOYWQ
Balance: Tk 240.62
14/08/2026 11:38"
2026-08-11 22:56,Robi,20.00,Expense,Mobile Recharge,Nagad,75T42K3O,Mobile: 01851096720,"Mobile Recharge Request Received.
Amount: Tk 20.00
Mobile:01851096720
TxnID: 75T42K3O
Balance: Tk 260.62
11/08/2026 22:56"
2026-08-10 17:04,Robi,50.00,Expense,Mobile Recharge,Nagad,75SUY26K,Mobile: 01851096720,"Mobile Recharge Request Received.
Amount: Tk 50.00
Mobile:01851096720
TxnID: 75SUY26K
Balance: Tk 300.62
10/08/2026 17:02"
2026-08-07 11:52,Robi,30.00,Expense,Mobile Recharge,Nagad,75SAELPI,Mobile: 01851096720,"Mobile Recharge Request Received.
Amount: Tk 30.00
Mobile:01851096720
TxnID: 75SAELPI
Balance: Tk 350.62
07/08/2026 11:51"
2026-07-31 18:00,Robi,30.00,Expense,Mobile Recharge,Nagad,75R3GVAG,Mobile: 01851096720,"Mobile Recharge Request Received.
Amount: Tk 30.00
Mobile:01851096720
TxnID: 75R3GVAG
Balance: Tk 380.62
31/07/2026 17:59"
2026-07-28 15:10,Send Money to 01625403330,3030.00,Expense,Other,Nagad,75QL4QLM,Receiver: 01625403330 | Memo: tasfia,"Send Money Successful.
Amount: Tk 3030.00
Receiver: 01625403330
Ref: tasfia
TxnID: 75QL4QLM
Fee: Tk 5.00
Balance: Tk 460.62
28/07/2026 15:10"
2026-07-28 14:21,Send Money to 01537615024,2370.00,Expense,Other,Nagad,75QKXPUQ,Receiver: 01537615024 | Memo: tasfia,"Send Money Successful.
Amount: Tk 2370.00
Receiver: 01537615024
Ref: tasfia
TxnID: 75QKXPUQ
Fee: Tk 5.00
Balance: Tk 3495.62
28/07/2026 14:21"
2026-07-26 17:23,Robi,50.00,Expense,Mobile Recharge,Nagad,75Q9U2DW,Mobile: 01851096720,"Mobile Recharge Request Received.
Amount: Tk 50.00
Mobile:01851096720
TxnID: 75Q9U2DW
Balance: Tk 5870.62
26/07/2026 17:23"
2026-07-09 20:53,Received from Eastern Bank PLC,2100.00,Income,Income,Nagad,75NA7YH3,,"Add Money from Bank is Successful.
From: Eastern Bank PLC.
Amount: Tk 2100.0
TxnID: 75NA7YH3
Balance: Tk 6100.62
09/07/2026 20:53"
