Date,Sender,Reason,Candidate Amount,Candidate Type,Candidate Party,Reference,Raw SMS
2026-09-06 12:52,bKashNotice,SMS could not be parsed: NotATransaction,,,,,Bill successfully paid. Biller: DPDC (Prepaid) Amount: Tk 1200.0 TrxID: DI667RCDIY at 06/09/26 12:52PM Get Receipt: https://bka.sh/DI667RCDIY
2026-09-06 07:04,Cirkle,SMS could not be parsed: NoAmountFound,,,,,"Dear Sir/Madam, your Main Account Balance validity will expire on 09/09/2026. To enjoy uninterrupted service, please recharge."
2026-09-02 11:58,16216,SMS could not be parsed: NotATransaction,,,,,"Tk1,000.00 trf to Mob:***978 Fee:Tk.00 NetBal:Tk3.95 TxnId:6903815976  Date:02-SEP-26 11:58:14 am. Pls tell recipient to open acc to rcv money."
2026-09-02 11:17,16216,SMS could not be parsed: NotATransaction,,,,,"Cash-In from A/C: ***106 Tk1,000.00 Fee: Tk.00, Your A/C Balance: Tk1,003.95.TxnId:6903714260 Date:02-SEP-26 11:17:23 am. Download https://bit.ly/nexuspay"
2026-08-08 11:55,16216,SMS could not be parsed: NotATransaction,,,,,"Tk1,000.00 paid to DPDC Id 1011 Bill No 32205988 TxnId:6818559471 Fee: Tk.00 Date:08-AUG-26 11:55:56 am."
2026-08-08 11:54,16216,SMS could not be parsed: NotATransaction,,,,,"Cash-In from A/C: ***106 Tk1,000.00 Fee: Tk.00, Your A/C Balance: Tk1,003.95.TxnId:6818598326 Date:08-AUG-26 11:54:44 am. Download https://bit.ly/nexuspay"
2026-07-15 10:15,EBL,SMS could not be parsed: NoAmountFound,,,,,"Dear Customer, your Half Yearly Deposit A/C(s) Statement & Balance Confirmation Certificate are sent to your registered e-mail address. Helpline 16230."
2026-07-11 13:11,16216,Multiple matching accounts,120.00,Expense,,6728015853,"Tk120.00 debited to recharge mobile 01604711175, Your A/C Balance:Tk3.95 TxnId: 6728015853 Date:11-JUL-26 01:11:18 pm. Pls download https://bit.ly/nexuspay"
2026-07-09 11:20,16216,SMS could not be parsed: NotATransaction,,,,,"Cash-In from A/C: ***106 Tk1,000.00 Fee: Tk.00, Your A/C Balance: Tk1,003.95.TxnId:6719419396 Date:09-JUL-26 11:20:36 am. Download https://bit.ly/nexuspay"
2026-06-30 15:33,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000270046915 . 8801513905199 has recharged your account with 20.00 Taka.
2026-06-29 01:08,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000269379232 . 8801513925313 has recharged your account with 20.00 Taka.
2026-06-22 23:22,Telecharge,Multiple matching accounts,15.00,Expense,,,Transaction ID is 000266430199 . 8801513905199 has recharged your account with 15.00 Taka.
2026-06-07 21:36,16216,SMS could not be parsed: NotATransaction,,,,,Tk950.00 paid to DPDC Id 1011 Bill No 32205988 TxnId:6606104112 Fee: Tk.00 Date:07-JUN-26 09:36:30 pm.
2026-06-07 21:33,16216,SMS could not be parsed: NotATransaction,,,,,"Cash-In from A/C: ***302 Tk1,000.00 Fee: Tk.00, Your A/C Balance: Tk1,003.95.TxnId:6606087726 Date:07-JUN-26 09:33:45 pm. Download https://bit.ly/nexuspay"
2026-05-22 14:43,Telecharge,Multiple matching accounts,25.00,Expense,,,Transaction ID is 000251219907 . 8801513905199 has recharged your account with 25.00 Taka.
2026-05-10 20:06,16216,SMS could not be parsed: NotATransaction,,,,,Tk500.00 paid to DPDC Id 1011 Bill No 32205988 TxnId:6491958323 Fee: Tk.00 Date:10-MAY-26 08:06:27 pm.
2026-05-10 19:35,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000245798432 . 1513925415 has recharged your account with 20.00 Taka.
2026-05-10 19:29,16216,SMS could not be parsed: NotATransaction,,,,,"Cash-In from A/C: ***106 Tk500.00 Fee: Tk.00, Your A/C Balance: Tk503.95.TxnId:6491632476 Date:10-MAY-26 07:29:27 pm. Download https://bit.ly/nexuspay"
2026-05-08 12:22,EBL,SMS could not be parsed: NoAmountFound,,,,,"Dear customer, due to system upgrade, ATM, SkyBanking, E-Com, Fund Transfer, POS & QR services will be unavailable on 9 May, 2026 from 2:00AM to 3:00AM."
